"","year","earnings poverty","earnings poverty se","monthly poverty","monthly poverty se","children in NW families poverty","children in NW families poverty sd"
"1",1999,0.293382889772968,0.00117425257190147,0.131804138541451,0.000856909742263185,0.0367391870900906,0
"2",1999.08333333333,0.278443049043583,0.000905428667428964,0.119449722020059,0.00110644956702245,0.0342256166893419,0
"3",1999.16666666667,0.275706541385535,0.000974735661672285,0.119647672863366,0.000830635655343674,0.0368264257212311,0
"4",1999.25,0.274268492834774,0.00110417142033782,0.118362778095388,0.000808605261834121,0.0328101809996852,0
"5",1999.33333333333,0.273446091508799,0.00115191213563078,0.121216308586559,0.000777563129010861,0.0297745032914361,0
"6",1999.41666666667,0.275360944074567,0.00102578207253778,0.119064047342279,0.000834886406633633,0.0312907167738368,0
"7",1999.5,0.271483442726122,0.000933551847767151,0.118222271143734,0.000922579829577742,0.0339033270301352,0
"8",1999.58333333333,0.278813282812841,0.00109793388974854,0.119605641273867,0.000824277312273123,0.0380674875632781,0
"9",1999.66666666667,0.276947758600873,0.000929246215222177,0.119232815135325,0.000793037070148962,0.0367327983878509,0
"10",1999.75,0.277787015852821,0.00104320125369137,0.12157236779158,0.00088533712230806,0.0301164199625535,0
"11",1999.83333333333,0.276356411846631,0.00101790527389485,0.123318816186598,0.000896594038512297,0.0293800749525518,0
"12",1999.91666666667,0.277923390805901,0.00109476325259048,0.121267631146746,0.000929296216886404,0.0297319567003705,0
"13",2000,0.284548580416472,0.000999090287001173,0.119829224512443,0.000925578995992165,0.02767251985193,0
"14",2000.08333333333,0.281921263636283,0.000989659201121134,0.115824352371515,0.000882083408184003,0.0341123959375464,0
"15",2000.16666666667,0.283151583786194,0.00101224391167902,0.115159622783934,0.000825680556014541,0.0334617168795769,0
"16",2000.25,0.27813999847076,0.000986759094917467,0.113673025523119,0.000949344144755831,0.0335979133300761,0
"17",2000.33333333333,0.281727509429848,0.000953511127020427,0.111820242989812,0.000790157145605904,0.0330529858676924,0
"18",2000.41666666667,0.273086541170541,0.00086753339390225,0.111549832575055,0.000889501909489161,0.0332613417216299,0
"19",2000.5,0.277061280420001,0.000903578748903245,0.113429027698662,0.000995393980651716,0.0335451707641021,0
"20",2000.58333333333,0.272735567642443,0.000988197953778747,0.115105340120927,0.000801657952473666,0.034168212815481,0
"21",2000.66666666667,0.278898209991797,0.0010004718829286,0.114235632697407,0.000898030401624629,0.0350337853323688,0
"22",2000.75,0.285496509527647,0.000954546782796506,0.115692987079643,0.000910641506497535,0.0315620859073164,0
"23",2000.83333333333,0.286373922792749,0.00108906919862608,0.115542403733132,0.000878625057265283,0.0342974028450101,0
"24",2000.91666666667,0.279657664662829,0.000966272653038601,0.116105510505352,0.000892989804262758,0.0328776568603476,0
"25",2001,0.282960154980033,0.000922583101877693,0.11707446916765,0.000847369580143779,0.0361081172060231,0
"26",2001.08333333333,0.283336186726954,0.00118013107722454,0.124065104312305,0.000874632362909995,0.0457676567018801,0
"27",2001.16666666667,0.290627321813309,0.0010415581210146,0.123661667729645,0.000789174800436559,0.039568587206284,0
"28",2001.25,0.280342173676076,0.00109812833060651,0.123025387914238,0.000954226541508875,0.0433186093944142,0
"29",2001.33333333333,0.274102051746242,0.00128715354904408,0.122750279876793,0.000838153484080215,0.0422977552680475,0
"30",2001.41666666667,0.2806911237604,0.00111868754374316,0.122209431988067,0.000816773997553374,0.0387201721261551,0
"31",2001.5,0.279210704296698,0.00100592749040362,0.122605999102163,0.000845096381899082,0.0404185599255237,0
"32",2001.58333333333,0.274462613603162,0.00123059556104109,0.122321297157802,0.000891667486289585,0.0404850371023652,0
"33",2001.66666666667,0.273807722073128,0.000868136840906904,0.122500790860737,0.00100012146629078,0.0412908228804424,0
"34",2001.75,0.27931482285627,0.00109291020007246,0.1236445947871,0.000931459376647166,0.0372439253273722,0
"35",2001.83333333333,0.281007263227435,0.00102576620486709,0.123975698976918,0.000847628780875653,0.0373566688432083,0
"36",2001.91666666667,0.274741880916494,0.0010628006922653,0.1243672149406,0.000820927808862666,0.0404012439850203,0
"37",2002,0.277864076443787,0.000980512904727864,0.124823039569642,0.000870041135134243,0.0392993490565593,0
"38",2002.08333333333,0.284062850086365,0.00110852509837341,0.126528965221439,0.000799099407176154,0.0407468630484986,0
"39",2002.16666666667,0.283290814954202,0.00115960576877452,0.126115257372028,0.000950772564718794,0.0470130524548213,0
"40",2002.25,0.282419606276351,0.000993568087066582,0.125583637278068,0.000827825771269567,0.0414421228290462,0
"41",2002.33333333333,0.286366800790302,0.00104349511969477,0.125688552636496,0.00077697958651558,0.0407007710599036,0
"42",2002.41666666667,0.275718122243186,0.000983408887915363,0.125075309175362,0.000894739788802196,0.039037528592457,0
"43",2002.5,0.278784836426538,0.000987158296317598,0.125915337597078,0.000842655997792204,0.0421547563773432,0
"44",2002.58333333333,0.274130749493415,0.000963112054525318,0.126702379856618,0.000863068764496259,0.0425927565299282,0
"45",2002.66666666667,0.280721177494313,0.00111619130387758,0.128965287237506,0.000871609948377726,0.0407198488640143,0
"46",2002.75,0.280181819716125,0.00112059925590832,0.130791026048643,0.000865589708469214,0.0370392881378986,0
"47",2002.83333333333,0.279278242989138,0.00112594233720029,0.131886621857755,0.000981734313427711,0.0388777932426102,0
"48",2002.91666666667,0.283334196794131,0.00100827259714397,0.132445658676997,0.000988927601588896,0.0424183653905777,0
"49",2003,0.281975608310417,0.00114051824299939,0.132022743905378,0.00100877444448144,0.0387369932606653,0
"50",2003.08333333333,0.281597849001255,0.00113530889374803,0.128517689620122,0.000784155370664391,0.0440827159673537,0
